curso,prerrequisitos,nivel,carrera
"Historia de la filosofia","Globalizacion: enfoque cultural y economico (adm.)","Ciclo 9","Ciencias politicas"
"Globalizacion: enfoque cultural y economico (adm.)","Ninguno","Ciclo 9","Ciencias politicas"
"Gestion publica","Ninguno","Ciclo 9","Ciencias politicas"
"Proyecto de tesis i","Economia politica internacional" "Seminario de inestigacion ii","Ciclo 9","Ciencias politicas"
"Curso de trabajo de investigacion - proyecto de tesis ii","Proyecto de tesis i","Ciclo 10","Ciencias politicas"
"Proyecto de tesis i","Instituciones politicas latinoamericanas","Ciclo 10","Ciencias politicas"
"Fundamentos biologicos","Ninguno","Ciclo 1","Odontologia"
"Inteligencia artificial y gestion de la informacion cientifica","Ninguno","Ciclo 1","Odontologia"
"Razonamiento cientifico","Ninguno","Ciclo 1","Odontologia"
"Estructura y funcion","Ninguno","Ciclo 1","Odontologia"
"Fundamentos de odontologia 1","Ninguno","Ciclo 1","Odontologia"
"Desarrollo humano y social","Ninguno","Ciclo 2","Odontologia"
"Liderazgo personal","Ninguno","Ciclo 2","Odontologia"
"Razonamiento cuantitativo","Gestion y busqueda de informacion cientifica","Ciclo 2","Odontologia"
"Fundamentos de odontologia 2","Fundamentos de odontologia 1","Ciclo 2","Odontologia"
"Procesos biologicos 2","Fundamentos biologicos","Ciclo 2","Odontologia"
"Sistema estomatognatico 1","Estructura y funcion","Ciclo 2","Odontologia"
"Comunicacion","Ninguno","Ciclo 3","Odontologia"
"Estilos de vida, medio ambiente y salud","Ninguno","Ciclo 3","Odontologia"
"Agresion y defensa","Procesos biologicos 2","Ciclo 3","Odontologia"
"Introduccion al diagnostico odontologico","Fundamentos de odontologia 2","Ciclo 3","Odontologia"
"Sistema estomatognatico 2","Sistema estomatognatico 1","Ciclo 3","Odontologia"
"Etica y profesionalismo","Ninguno","Ciclo 4","Odontologia"
"Integracion clinica - patologica 1","Introduccion al diagnostico odontologico" "Sistema estomatognatico 2","Ciclo 4","Odontologia"
"Nutricion y metabolismo","Procesos biologicos 2","Ciclo 4","Odontologia"
"Procesos biologicos 2","Introduccion al diagnostico odontologico","Ciclo 4","Odontologia"
"Salud publica","Ninguno","Ciclo 4","Odontologia"
"Clinica integral i","Integracion clinica - patologica 1" "Practica preclinica odontologica 1","Ciclo 5","Odontologia"
"Integracion clinica - patologica 2","Integracion clinica - patologica 1","Ciclo 5","Odontologia"
"Practica preclinica odontologica 2","Practica preclinica odontologica 1" "Clinica integral i","Ciclo 5","Odontologia"
"Terapeutica integrada","Procesos biologicos 2","Ciclo 5","Odontologia"
"Clinica integral 2","Clinica integral i","Ciclo 6","Odontologia"
"Epidemiologia","Salud publica","Ciclo 6","Odontologia"
"Practica preclinica odontologica 3","Practica preclinica odontologica 2" "Clinica integral 2","Ciclo 6","Odontologia"
"Clinica integral 3","Clinica integral 2","Ciclo 7","Odontologia"
"Metodologia de la investigacion cientifica","Epidemiologia","Ciclo 7","Odontologia"
"Clinica integral 4","Clinica integral 3","Ciclo 8","Odontologia"
"Proyecto de tesis 1","Metodologia de la investigacion cientifica","Ciclo 8","Odontologia"
"Internado clinico","Clinica integral 4","Ciclo 9","Odontologia"
"Odontologia comunitaria","Epidemiologia","Ciclo 9","Odontologia"
"Proyecto de tesis 2","Proyecto de tesis 1","Ciclo 9","Odontologia"
"Curso de trabajo de investigacion e internado comunitario","Odontologia comunitaria","Ciclo 10","Odontologia"
"Comunicacion","Ninguno","Ciclo 1","Nutricion y dietetica"
"Inteligencia artificial y gestion de la informacion cientifica","Ninguno","Ciclo 1","Nutricion y dietetica"
"Liderazgo personal","Ninguno","Ciclo 1","Nutricion y dietetica"
"Procesos biologicos 1","Ninguno","Ciclo 1","Nutricion y dietetica"
"Estructura y funcion","Ninguno","Ciclo 1","Nutricion y dietetica"
"Fundamentos de la nutricion","Ninguno","Ciclo 1","Nutricion y dietetica"
"Razonamiento cientifico","Gestion y busqueda de informacion cientifica","Ciclo 2","Nutricion y dietetica"
"Antropologia y cultura","Comunicacion","Ciclo 2","Nutricion y dietetica"
"Practica nutricional 1","Fundamentos de la nutricion","Ciclo 2","Nutricion y dietetica"
"Procesos biologicos 2","Procesos biologicos 1","Ciclo 2","Nutricion y dietetica"
"Sistema digestivo","Estructura y funcion","Ciclo 2","Nutricion y dietetica"
"Situacion alimentaria nutricional","Ninguno","Ciclo 2","Nutricion y dietetica"
"Razonamiento cuantitativo","Ninguno","Ciclo 3","Nutricion y dietetica"
"Agresion y defensa","Procesos biologicos 2","Ciclo 3","Nutricion y dietetica"
"Bioquimica de alimentos y bromatologia","Procesos biologicos 2","Ciclo 3","Nutricion y dietetica"
"Practica nutricional 2","Practica nutricional 1","Ciclo 3","Nutricion y dietetica"
"Sistema circulatorio","Estructura y funcion","Ciclo 3","Nutricion y dietetica"
"Sistema endocrino y reproductor","Estructura y funcion","Ciclo 3","Nutricion y dietetica"
"Desarrollo humano y social","Liderazgo personal","Ciclo 4","Nutricion y dietetica"
"Estilos de vida, medio ambiente y salud","Antropologia y cultura" "Salud publica","Ciclo 4","Nutricion y dietetica"
"Salud publica","Situacion alimentaria nutricional" "Antropologia y cultura","Ciclo 4","Nutricion y dietetica"
"Sistema excretor","Estructura y funcion","Ciclo 4","Nutricion y dietetica"
"Sistema hematopoyetico","Estructura y funcion","Ciclo 4","Nutricion y dietetica"
"Tecnicas dieteticas y gastronomicas","Bioquimia de alimentos y bromatologia","Ciclo 4","Nutricion y dietetica"
"Dietetica y diseño de dietas","Tecnicas dieteticas y gastronomicas" "Practica nutricional 2","Ciclo 5","Nutricion y dietetica"
"Farmaconutriente","Bioquimica de alimentos y bromatologia" "Sistema circulatorio" "Sistema digestivo" "Sistema endocrino y reproductor" "Sistema excretor","Ciclo 5","Nutricion y dietetica"
"Higiene y calidad de los alimentos","Agresion y defensa","Ciclo 5","Nutricion y dietetica"
"Integracion clinico patologica","Sistema circulatorio" "Sistema digestivo" "Sistema endocrino y reproductor" "Sistema excretor" "Sistema hematopoyetico","Ciclo 5","Nutricion y dietetica"
"Tecnologia y biotecnologia de los alimentos","Bioquimica de alimentos y bromatologia","Ciclo 5","Nutricion y dietetica"
"Etica y profesionalismo","Desarrollo humano y social","Ciclo 6","Nutricion y dietetica"
"Epidemiologia","Salud publica","Razonamiento cientifico","Ciclo 6","Nutricion y dietetica"
"Legislacion alimentaria","Higiene y calidad de los alimentos" "Tecnologia y biotecnologia de los alimentos","Ciclo 6","Nutricion y dietetica"
"Nutricion del niño y adolescente","Dietetica y diseño de dietas" "Integracion clinico patologica" "Nutricion materno infantil","Ciclo 6","Nutricion y dietetica"
"Nutricion materno infantil","Dietetica y diseño de dietas" "Integracion clinico patologica" "Nutricion del niño y adolescente","Ciclo 6","Nutricion y dietetica"
"Nutricion molecular","Farmaconutriente" "Integracion clinico patologica","Ciclo 6","Nutricion y dietetica"
"Gestion de servicios de alimentacion y nutricion","Legislacion alimentaria" "Dietetica y diseño de dietas","Ciclo 7","Nutricion y dietetica"
"Metodologia de la investigacion cientifica","Razonamiento cuantitativo","Ciclo 7","Nutricion y dietetica"
"Nutricion en el adulto","Nutricion del niño y adolescente" "Nutricion materno infantil","Ciclo 7","Nutricion y dietetica"
"Practica nutricional publica","Nutricion materno infantil" "Nutricion del niño y adolescente","Ciclo 7","Nutricion y dietetica"
"Educacion alimentaria nutricional","Nutricion en el adulto" "Practica nutricional publica","Ciclo 8","Nutricion y dietetica"
"Educacion alimentaria nutricional","Dietetica y diseño de dietas","Ciclo 8","Nutricion y dietetica"
"Proyecto de tesis 1","Metodologia de la investigacion cientifica","Ciclo 8","Nutricion y dietetica"
"Terapia nutricional artificial","Nutricion en el adulto","Ciclo 8","Nutricion y dietetica"
"Nutricion clinica","Educacion alimentaria nutricional" "Gestion de servicios de alimentacion y nutricion" "Nutricion en actividad fisica" "Terapia nutricional artificial" "Etica y profesionalismo","Ciclo 9","Nutricion y dietetica"
"Proyecto de tesis 2","Proyecto de tesis 1","Nutricion clinica","Ciclo 9","Nutricion y dietetica"
"Curso de trabajo de investigacion y nutricion en comunidad","Educacion alimentaria nutricional" "Gestion de servicios de alimentacion y nutricion" "Practica nutricional publica","Ciclo 10","Nutricion y dietetica"
"Comprension y produccion de lenguaje i","Ninguno","Ciclo 1","Hoteleria y administracion"
"Fundamentos para el calculo","Ninguno","Ciclo 1","Hoteleria y administracion"
"Analisis inst. de la realidad peruana y global","Ninguno","Ciclo 1","Hoteleria y administracion"
"Introduccion a la hoteleria","Ninguno","Ciclo 1","Hoteleria y administracion"
"Introduccion al turismo","Ninguno","Ciclo 1","Hoteleria y administracion"
"Seleccion, sanidad e higiene de alimentos y bebidas","Ninguno","Ciclo 1","Hoteleria y administracion"
"Calculo","Fundamentos para el calculo","Ciclo 2","Hoteleria y administracion"
"Comprension y produccion de lenguaje ii","Comprension y produccion del lenguaje i","Ciclo 2","Hoteleria y administracion"
"Etica y ciudadania","Comprension y produccion del lenguaje i","Ciclo 2","Hoteleria y administracion"
"Fundamentos de la gerencia","Comprension y produccion de lenguaje i","Ciclo 2","Hoteleria y administracion"
"Operaciones de alojamiento i","Introduccion a la hoteleria","Ciclo 2","Hoteleria y administracion"
"Turismo sostenible","Introduccion al turismo","Ciclo 2","Hoteleria y administracion"
"Estadistica descriptiva","Calculo","Ciclo 3","Hoteleria y administracion"
"Introduccion a la contabilidad financiera","Ninguno","Ciclo 3","Hoteleria y administracion"
"Introduccion al marketing","Ninguno","Ciclo 3","Hoteleria y administracion"
"Operaciones de alojamiento ii","Introduccion a la hoteleria","Ciclo 3","Hoteleria y administracion"
"Operaciones y servicio de alimentos y bebidas","Introduccion a la hoteleria","Ciclo 3","Hoteleria y administracion"
"Panaderia y pasteleria","Seleccion, sanidad e higiene de alimentos y bebidas" "Aprobar 35 creditos","Ciclo 3","Hoteleria y administracion"
"Estadistica inferencial","Estadistica descriptiva","Ciclo 4","Hoteleria y administracion"
"Fundamentos de la investigacion academica","Comprension y produccion de lenguaje ii","Ciclo 4","Hoteleria y administracion"
"Control de costos de alimentos y bebidas","Operaciones y servicio de alimentos y bebidas","Ciclo 4","Hoteleria y administracion"
"Gestion de alojamiento","Operaciones de alojamiento ii","Ciclo 4","Hoteleria y administracion"
"Matematica financiera","Introduccion a la contabilidad financiera","Ciclo 4","Hoteleria y administracion"
"Principios y tecnicas culinarias","Panaderia y pasteleria","Ciclo 4","Hoteleria y administracion"
"Metodos cuantitativos","Estadistica descriptiva","Ciclo 5","Hoteleria y administracion"
"Derecho de los negocios","Fundamentos de la gerencia","Ciclo 5","Hoteleria y administracion"
"Diseño organizacional y procesos","Fundamentos de la gerencia","Ciclo 5","Hoteleria y administracion"
"Diseño y equipamiento de hoteles y restaurantes","Operaciones de alojamiento i","Ciclo 5","Hoteleria y administracion"
"Investigacion de mercados","Estadistica inferencial" "Introduccion al marketing","Ciclo 5","Hoteleria y administracion"
"Macroeconomia","Analisis ins. de la realidad peruana y global","Ciclo 5","Hoteleria y administracion"
"Finanzas corporativas","Matematica financiera","Ciclo 6","Hoteleria y administracion"
"Gestion de restaurantes","Control de costos de alimentos y bebidas","Ciclo 6","Hoteleria y administracion"
"Ingles aplicado i","Ingles 5","Ciclo 6","Hoteleria y administracion"
"Marketing de servicios","Investigacion de mercados","Ciclo 6","Hoteleria y administracion"
"Teoria microeconomica","Fundamentos para el calculo" "Macroeconomia","Ciclo 6","Hoteleria y administracion"
"Administracion de operaciones","Metodos cuantitativos","Ciclo 7","Hoteleria y administracion"
"Capital humano en empresas de servicio","Diseño organizacional y procesos","Ciclo 7","Hoteleria y administracion"
"Contabilidad gerencial hotelera","Introduccion a la contabilidad financiera" "Gestion de alojamiento","Ciclo 7","Hoteleria y administracion"
"Ingles aplicado ii","Ingles aplicado i","Ciclo 7","Hoteleria y administracion"
"Organizacion de eventos","Operaciones y servicio de alimentos y bebidas","Ciclo 7","Hoteleria y administracion"
"Calidad en servicio","Administracion de operaciones","Ciclo 8","Hoteleria y administracion"
"Comportamiento organizacional","Capital humano en empresas de servicio","Ciclo 8","Hoteleria y administracion"
"Evaluacion de proyectos","Finanzas corporativas","Ciclo 8","Hoteleria y administracion"
"Informatica para los negocios","Matematica financiera","Ciclo 8","Hoteleria y administracion"
"Formulacion de plan de negocios","Contabilidad gerencial hotelera" "Marketing de servicios","Ciclo 9","Hoteleria y administracion"
"Gerencia estrategica en org. conscientes","Aprobar 140 creditos","Ciclo 9","Hoteleria y administracion"
"Innovacion, transformacion y emprendimiento","Aprobar 140 creditos","Ciclo 9","Hoteleria y administracion"
"Metodologia de la investigacion","Fundamentos de la investigacion academica" "Aprobar 140 creditos","Ciclo 9","Hoteleria y administracion"
"Etica y responsabilidad social empresarial","Aprobar 140 creditos","Ciclo 10","Hoteleria y administracion"
"Gerencia hotelera","Gestion de alojamiento","Ciclo 10","Hoteleria y administracion"
"Implementacion de negocios","Formulacion de plan de negocios","Ciclo 10","Hoteleria y administracion"
"Investigacion aplicada","Metodologia de la investigacion","Ciclo 10","Hoteleria y administracion"
"Comprension y produccion de lenguaje i","Ninguno","Ciclo 1","Turismo y administracion"
"Fundamentos para el calculo","Ninguno","Ciclo 1","Turismo y administracion"
"Analisis inst. de la realidad peruana y global","Ninguno","Ciclo 1","Turismo y administracion"
"Geografia turistica","Ninguno","Ciclo 1","Turismo y administracion"
"Historia","Ninguno","Ciclo 1","Turismo y administracion"
"Introduccion al turismo","Ninguno","Ciclo 1","Turismo y administracion"
"Calculo","Fundamentos para el calculo","Ciclo 2","Turismo y administracion"
"Comprension y produccion de lenguaje ii","Comprension y produccion del lenguaje i","Ciclo 2","Turismo y administracion"
"Empresas turisticas","Introduccion al turismo","Ciclo 2","Turismo y administracion"
"Fundamentos de la gerencia","Comprension y produccion del lenguaje i","Ciclo 2","Turismo y administracion"
"Patrimonio turistico","Geografia turistica","Ciclo 2","Turismo y administracion"
"Turismo sostenible","Introduccion al turismo","Ciclo 2","Turismo y administracion"
"Estadistica descriptiva","Calculo","Ciclo 3","Turismo y administracion"
"Etica y ciudadania","Comprension y produccion de lenguaje i","Ciclo 3","Turismo y administracion"
"Gestion del patrimonio natural","Patrimonio turistico" "Turismo sostenible","Ciclo 3","Turismo y administracion"
"Introduccion a la contabilidad financiera","Ninguno","Ciclo 3","Turismo y administracion"
"Introduccion al marketing","Ninguno","Ciclo 3","Turismo y administracion"
"Operaciones de servicios turisticos","Empresas turisticas","Ciclo 3","Turismo y administracion"
"Estadistica inferencial","Estadistica descriptiva","Ciclo 4","Turismo y administracion"
"Fundamentos de la investigacion academica","Comprension y produccion de lenguaje ii","Ciclo 4","Turismo y administracion"
"Costos y presupuestos","Introduccion a la contabilidad financiera","Ciclo 4","Turismo y administracion"
"E-marketing y comercializacion turistica","Introduccion al marketing","Ciclo 4","Turismo y administracion"
"Gestion del patrimonio cultural","Patrimonio turistico","Ciclo 4","Turismo y administracion"
"Matematica financiera","Introduccion a la contabilidad financiera","Ciclo 4","Turismo y administracion"
"Metodos cuantitativos","Estadistica descriptiva","Ciclo 5","Turismo y administracion"
"Derecho de los negocios","Fundamentos de la gerencia","Ciclo 5","Turismo y administracion"
"Diseño organizacional y procesos","Fundamentos de la gerencia","Ciclo 5","Turismo y administracion"
"Investigacion de mercados","Estadistica inferencial" "Introduccion al marketing","Ciclo 5","Turismo y administracion"
"Macroeconomia","Analisis ins. de la realidad peruana y global","Ciclo 5","Turismo y administracion"
"Organizacion de eventos","Aprobar 70 creditos","Ciclo 5","Turismo y administracion"
"Capital humano en empresas de servicio","Diseño organizacional y procesos","Ciclo 6","Turismo y administracion"
"Finanzas corporativas","Matematica financiera","Ciclo 6","Turismo y administracion"
"Ingles aplicado i","Ingles 5","Ciclo 6","Turismo y administracion"
"Marketing de servicios","Investigacion de mercados","Ciclo 6","Turismo y administracion"
"Teoria microeconomica","Fundamentos para el calculo" "Macroeconomia","Ciclo 6","Turismo y administracion"
"Administracion de operaciones","Metodos cuantitativos","Ciclo 7","Turismo y administracion"
"Ingles aplicado ii","Ingles aplicado i","Ciclo 7","Turismo y administracion"
"Planificacion turistica","Aprobar 100 creditos","Ciclo 7","Turismo y administracion"
"Promocion turistica","Marketing de servicios","Ciclo 7","Turismo y administracion"
"Comportamiento organizacional","Capital humano en empresas de servicio","Ciclo 8","Turismo y administracion"
"Diseño de productos turisticos","Planificacion turistica","Ciclo 8","Turismo y administracion"
"Evaluacion de proyectos","Finanzas corporativas","Ciclo 8","Turismo y administracion"
"Gestion de proyectos turisticos","Planificacion turistica","Ciclo 8","Turismo y administracion"
"Desarrollo de destinos turisticos","Diseño de productos turisticos","Ciclo 9","Turismo y administracion"
"Formulacion de plan de negocios","Costos y presupuestos" "Marketing de servicios","Ciclo 9","Turismo y administracion"
"Gerencia estrategica en org. conscientes","Aprobar 140 creditos","Ciclo 9","Turismo y administracion"
"Innovacion, transformacion y emprendimiento","Aprobar 140 creditos","Ciclo 9","Turismo y administracion"
"Metodologia de la investigacion","Fundamentos de la investigacion academica" "Aprobar 140 creditos","Ciclo 9","Turismo y administracion"
"Consultoria turistica","Aprobar 160 creditos","Ciclo 10","Turismo y administracion"
"Curso de trabajo de investigacion - investigacion aplicada","Metodologia de la investigacion","Ciclo 10","Turismo y administracion"
"Etica y responsabilidad social empresarial","Aprobar 140 creditos","Ciclo 10","Turismo y administracion"
"Implementacion de negocios","Formulacion de plan de negocios","Ciclo 10","Turismo y administracion"
"Comprension y produccion del lenguaje i","Ninguno","Ciclo 1","Gastronomia y gestion culinaria"
"Matematica basica","Ninguno","Ciclo 1","Gastronomia y gestion culinaria"
"Antropologia de la alimentacion","Ninguno","Ciclo 1","Gastronomia y gestion culinaria"
"Introduccion a la gastronomia","Ninguno","Ciclo 1","Gastronomia y gestion culinaria"
"Quimica de los alimentos","Ninguno","Ciclo 1","Gastronomia y gestion culinaria"
"Seleccion, sanidad e higiene de alimentos y bebidas","Ninguno","Ciclo 1","Gastronomia y gestion culinaria"
"Comprension y produccion del lenguaje ii","Comprension y produccion del lenguaje i","Ciclo 2","Gastronomia y gestion culinaria"
"Estadistica descriptiva","Matematica basica","Ciclo 2","Gastronomia y gestion culinaria"
"Composicion de los alimentos","Quimica de los alimentos" "Seleccion, sanidad e higiene de los alimentos","Ciclo 2","Gastronomia y gestion culinaria"
"Historia y reconocimiento de insumos","Antropologia de la alimentacion","Ciclo 2","Gastronomia y gestion culinaria"
"Pasteleria basica","Seleccion, sanidad e higiene de los alimentos","Ciclo 2","Gastronomia y gestion culinaria"
"Principios de nutricion","Ninguno","Ciclo 2","Gastronomia y gestion culinaria"
"Tecnicas culinarias basicas","Seleccion, sanidad e higiene de los alimentos","Ciclo 2","Gastronomia y gestion culinaria"
"Temas de historia del peru","Comprension y produccion del lenguaje i","Ciclo 3","Gastronomia y gestion culinaria"
"Fundamentos de la gerencia","Introduccion a la gastronomia","Ciclo 3","Gastronomia y gestion culinaria"
"Industria alimentaria","Composicion de los alimentos" "Principios de nutricion","Ciclo 3","Gastronomia y gestion culinaria"
"Logistica de alimentos y bebidas","Introduccion a la gastronomia","Ciclo 3","Gastronomia y gestion culinaria"
"Operaciones y servicio de alimentos y bebidas","Introduccion a la gastronomia","Ciclo 3","Gastronomia y gestion culinaria"
"Pasteleria intermedia","Pasteleria basica","Ciclo 3","Gastronomia y gestion culinaria"
"Tecnicas culinarias intermedias","Tecnicas culinarias basicas" "Composicion de los alimentos","Ciclo 3","Gastronomia y gestion culinaria"
"Economia para la gestion","Matematica basica","Ciclo 4","Gastronomia y gestion culinaria"
"Taller de creatividad","Ninguno","Ciclo 4","Gastronomia y gestion culinaria"
"Certificaciones y marcas de calidad","Industria alimentaria","Ciclo 4","Gastronomia y gestion culinaria"
"Introduccion al marketing","Ninguno","Ciclo 4","Gastronomia y gestion culinaria"
"Planeamiento y desarrollo del menu","Logistica de alimentos y bebidas","Ciclo 4","Gastronomia y gestion culinaria"
"Tecnicas culinarias avanzadas","Tecnicas culinarias intermedias","Ciclo 4","Gastronomia y gestion culinaria"
"Tecnicas de panaderia","Pasteleria basica","Ciclo 4","Gastronomia y gestion culinaria"
"Fundamentos de la investigacion academica","Comprension y produccion de lenguaje ii","Ciclo 5","Gastronomia y gestion culinaria"
"Cocina peruana","Historia y reconocimiento de insumos" "Tecnicas culinarias avanzadas","Ciclo 5","Gastronomia y gestion culinaria"
"Costos y presupuestos para la gastronomia","Planeamiento y desarrollo del menu","Ciclo 5","Gastronomia y gestion culinaria"
"Investigacion de mercados","Estadistica descriptiva" "Introduccion al marketing","Ciclo 5","Gastronomia y gestion culinaria"
"Negocios agroalimentarios","Certificaciones y marcas de calidad","Ciclo 5","Gastronomia y gestion culinaria"
"Pasteleria avanzada","Pasteleria intermedia","Ciclo 5","Gastronomia y gestion culinaria"
"Etica y ciudadania","Comprension y produccion de lenguaje ii","Ciclo 6","Gastronomia y gestion culinaria"
"Contabilidad general","Fundamentos de la gerencia","Ciclo 6","Gastronomia y gestion culinaria"
"Derecho de los negocios","Fundamentos de la gerencia","Ciclo 6","Gastronomia y gestion culinaria"
"Diseño organizacional y procesos","Fundamentos de la gerencia","Ciclo 6","Gastronomia y gestion culinaria"
"Marketing gastronomico","Introduccion al marketing","Ciclo 6","Gastronomia y gestion culinaria"
"Planificacion y diseño de espacios culinarios","Operaciones y servicio de alimentos y bebidas" "Planeamiento y desarrollo del menu","Ciclo 6","Gastronomia y gestion culinaria"
"Tecnicas culinarias de vanguardia","Tecnicas culinarias avanzadas","Ciclo 6","Gastronomia y gestion culinaria"
"Comunicacion en las organizaciones","Comprension y produccion de lenguaje ii","Ciclo 7","Gastronomia y gestion culinaria"
"Enologia, cata y maridaje","Operaciones y servicio de alimentos y bebidas","Ciclo 7","Gastronomia y gestion culinaria"
"Gestion de restaurantes","Costos y presupuestos para la gastronomia" "Operaciones y servicio de alimentos y bebidas","Ciclo 7","Gastronomia y gestion culinaria"
"Ingles aplicado i","Ingles 5","Ciclo 7","Gastronomia y gestion culinaria"
"Capital humano en empresas de servicio","Diseño organizacional y procesos","Ciclo 8","Gastronomia y gestion culinaria"
"Cocinas del mundo","Cocina peruana","Ciclo 8","Gastronomia y gestion culinaria"
"Ingles aplicado ii","Ingles aplicado i","Ciclo 8","Gastronomia y gestion culinaria"
"Innovacion y desarrollo de productos","Tecnicas culinarias de vanguardia" "Negocios agroalimentarios","Ciclo 8","Gastronomia y gestion culinaria"
"Cocina creativa","Cocinas del mundo" "Tecnicas culinarias de vanguardia","Ciclo 9","Gastronomia y gestion culinaria"
"Formulacion de plan de negocios","Gestion de restaurantes" "Investigacion de mercados","Ciclo 9","Gastronomia y gestion culinaria"
"Metodologia de la investigacion","Fundamentos de la investigacion academica" "Aprobar 140 creditos","Ciclo 9","Gastronomia y gestion culinaria"
"Curso de trabajo de investigacion - investigacion aplicada","Metodologia de la investigacion","Ciclo 10","Gastronomia y gestion culinaria"
"Etica y responsabilidad social empresarial","Aprobar 140 creditos","Ciclo 10","Gastronomia y gestion culinaria"
"Implementacion de negocios","Formulacion de plan de negocios","Ciclo 10","Gastronomia y gestion culinaria"
"Comprension y produccion de lenguaje i","Ninguno","Ciclo 1","Economia y finanzas"
"Matematica basica","Ninguno","Ciclo 1","Economia y finanzas"
"Taller de creatividad","Ninguno","Ciclo 1","Economia y finanzas"
"Fundamentos de economia general","Ninguno","Ciclo 1","Economia y finanzas"
"Introduccion a las finanzas","Ninguno","Ciclo 1","Economia y finanzas"
"Calculo diferencial e integral para economistas","Matematica basica","Ciclo 2","Economia y finanzas"
"Comprension y produccion de lenguaje ii","Comprension y produccion de lenguaje i","Ciclo 2","Economia y finanzas"
"Contabilidad general","Ninguno","Ciclo 2","Economia y finanzas"
"Introduccion a la microeconomia","Fundamentos de economia general" "Matematica basica","Ciclo 2","Economia y finanzas"
"Matematica financiera para economistas","Introduccion a las finanzas" "Matematica basica","Ciclo 2","Economia y finanzas"
"Etica y ciudadania","Ninguno","Ciclo 3","Economia y finanzas"
"Logica","Ninguno","Ciclo 3","Economia y finanzas"
"Contabilidad financiera","Contabilidad general","Ciclo 3","Economia y finanzas"
"Finanzas corporativas i","Contabilidad general" "Matematica financiera para economistas","Ciclo 3","Economia y finanzas"
"Introduccion a la macroeconomia","Introduccion a la microeconomia","Ciclo 3","Economia y finanzas"
"Microeconomia avanzada","Calculo diferencial e integral para economistas" "Introduccion a la microeconomia","Ciclo 3","Economia y finanzas"
"Estadistica","Calculo diferencial e integral para economistas","Ciclo 4","Economia y finanzas"
"Historia economica del peru","Introduccion a la macroeconomia","Ciclo 4","Economia y finanzas"
"Macroeconomia avanzada","Calculo diferencial e integral para economistas" "Introduccion a la macroeconomia","Ciclo 4","Economia y finanzas"
"Matematica avanzada para economistas","Calculo diferencial e integral para economistas","Ciclo 4","Economia y finanzas"
"Microeconomia aplicada","Microeconomia avanzada","Ciclo 4","Economia y finanzas"
"Estadistica para economistas","Estadistica","Ciclo 5","Economia y finanzas"
"Finanzas corporativas ii","Finanzas corporativas i","Ciclo 5","Economia y finanzas"
"Informatica para economistas","Estadistica","Ciclo 5","Economia y finanzas"
"Macroeconomia aplicada","Macroeconomia avanzada","Ciclo 5","Economia y finanzas"
"Teoria de juegos","Microeconomia avanzada","Ciclo 5","Economia y finanzas"
"Historia del pensamiento economico","Macroeconomia avanzada" "Microeconomia avanzada","Ciclo 6","Economia y finanzas"
"Instrumentos de renta variable","Estadistica" "Finanzas coporativas ii","Ciclo 6","Economia y finanzas"
"Introduccion a la econometria","Estadistica para economistas" "Informatica para economistas","Ciclo 6","Economia y finanzas"
"Organizacion industrial","Microeconomia aplicada","Ciclo 6","Economia y finanzas"
"Teoria economica internacional","Ingles 3" "Macroeconomia avanzada" "Microeconomia avanzada","Ciclo 6","Economia y finanzas"
"Data analytics","Informatica para economistas","Ciclo 7","Economia y finanzas"
"Economia publica y regulacion","Macroeconomia aplicada" "Microeconomia aplicada","Ciclo 7","Economia y finanzas"
"Escuela austriaca de economia","Historia del pensamiento economico","Ciclo 7","Economia y finanzas"
"Evaluacion de proyectos","Aprobar 100 creditos","Ciclo 7","Economia y finanzas"
"Microeconometria","Introduccion a la econometria","Ciclo 7","Economia y finanzas"
"Historia de la filosofia","Etica y ciudadania","Ciclo 8","Economia y finanzas"
"Behavioral economics","Microeconomia aplicada","Ciclo 8","Economia y finanzas"
"Instrumentos de renta fija","Instrumentos de renta variable" "Introduccion a la econometria","Ciclo 8","Economia y finanzas"
"Macroeconometria","Microeconometria","Ciclo 8","Economia y finanzas"
"Seminario de investigacion academica (econ)","Introduccion a la econometria","Ciclo 8","Economia y finanzas"
"Teoria monetaria","Macroeconomia aplicada","Ciclo 8","Economia y finanzas"
"Crecimiento y desarrollo","Introduccion a la econometria","Ciclo 9","Economia y finanzas"
"Macroeconomia abierta","Introduccion a la econometria" "Teoria monetaria","Ciclo 9","Economia y finanzas"
"Proyecto de tesis 1","Microeconometria" "Seminario de investigacion academica (econ)","Ciclo 9","Economia y finanzas"
"Curso de trabajo de investigacion - proyecto de tesis 2 8","Proyecto de tesis 1" "Macroeconometria","Ciclo 10","Economia y finanzas"
"Politica economica","Economia publica y regulacion","Ciclo 10","Economia y finanzas"
"Comprension y produccion de lenguaje i","Ninguno","Ciclo 1","Diseño profesional grafico"
"Diseño y creacion","Ninguno","Ciclo 1","Diseño profesional grafico"
"Etica y ciudadania","Ninguno","Ciclo 1","Diseño profesional grafico"
"Fundamentos del diseño 1","Ninguno","Ciclo 1","Diseño profesional grafico"
"Representacion visual 1","Ninguno","Ciclo 1","Diseño profesional grafico"
"Signos y codigos visuales","Ninguno","Ciclo 1","Diseño profesional grafico"
"Comprension y produccion de lenguaje ii","Comprension y produccion de lenguaje i","Ciclo 2","Diseño profesional grafico"
